Designator,Mid X,Mid Y,Rotation,Layer
C1,105.2,-84.62,270.0,top
C10,102.775,-94.0,90.0,top
C11,94.75,-100.075,180.0,top
C12,98.875,-92.78,90.0,top
C13,100.825,-105.55,270.0,top
C14,94.755,-101.0,180.0,top
C15,96.35,-105.05,90.0,top
C16,90.52,-105.15,0.0,top
C17,129.675,-83.525,0.0,top
C18,129.675,-90.525,0.0,top
C19,129.675,-97.525,0.0,top
C2,107.1,-92.175,0.0,top
C20,129.675,-104.525,0.0,top
C21,137.675,-83.525,0.0,top
C22,137.675,-90.525,0.0,top
C23,137.675,-97.525,0.0,top
C24,137.675,-104.525,0.0,top
C25,145.675,-83.525,0.0,top
C26,145.675,-90.525,0.0,top
C27,145.675,-97.525,0.0,top
C28,145.675,-104.525,0.0,top
C29,135.7,-76.1,0.0,top
C3,103.7,-94.0,90.0,top
C4,99.8,-92.78,90.0,top
C5,99.9,-105.555,270.0,top
C6,107.1,-93.1,0.0,top
C7,107.1,-94.05,0.0,top
C8,105.225,-101.455,270.0,top
C9,97.87,-83.25,0.0,top
D1,127.675,-80.025,0.0,top
D10,143.675,-87.025,0.0,top
D11,143.675,-94.025,0.0,top
D12,143.675,-101.025,0.0,top
D2,127.675,-87.025,0.0,top
D3,127.675,-94.025,0.0,top
D4,127.675,-101.025,0.0,top
D5,135.675,-80.025,0.0,top
D6,135.675,-87.025,0.0,top
D7,135.675,-94.025,0.0,top
D8,135.675,-101.025,0.0,top
D9,143.675,-80.025,0.0,top
J1,102.475,-72.4,180.0,top
J2,113.325,-97.125,270.0,top
J3,91.625,-97.125,90.0,top
J4,88.9,-81.89,0.0,top
MOUSE-BITE-2MM-SLOT_3,119.075,-90.525,90.0,top
MOUSE-BITE-2MM-SLOT_2,119.075,-75.275,90.0,top
MOUSE-BITE-2MM-SLOT,119.075,-105.775,90.0,top
R1,99.05,-81.825,270.0,top
R2,103.45,-81.4,270.0,top
R3,91.325,-82.31,270.0,top
R4,94.25,-107.275,0.0,top
R5,106.625,-104.675,180.0,top
R6,99.45,-107.875,0.0,top
R7,100.75,-93.99,90.0,top
R8,101.8,-93.99,90.0,top
R9,91.625,-83.725,180.0,top
SW1,94.65,-82.0,180.0,top
U1,100.0,-100.0,0.0,top
U2,109.2875,-86.575,90.0,top
U3,95.35,-87.1,270.0,top
U4,104.65,-108.275,180.0,top
X1,93.75,-104.425001,90.0,top
